P	TM	Yr	CT	NP	DEAL	KM
158	1	3	0	204	0	0
158	1	3	18	204	0	0
158	1	5	15	189	0	2.9
158	1	6	14	204	0	1.7
155	1	3	0	204	0	0
155	1	3	0	204	0	3.8
148	1	4	5	189	0	2.5
139	1	5	2	189	0	0
138	1	4	7	189	0	0
138	1	5	0	189	0	0
137	1	6	24	189	0	3.1
135	1	4	9	189	0	0
129	0	3	0	214	0	0
129	0	3	17	214	0	3.5
129	1	5	15	189	0	4.8
129	1	5	17	189	0	0
129	1	5	0	189	0	0
128	1	5	24	189	0	0
125	1	5	0	189	0	4.2
125	1	5	0	189	1	4.2
123	1	5	0	189	0	0
118	1	5	24	189	0	0
115	1	6	9	189	0	0
108	1	5	0	189	0	3.7
103	0	5	0	198	1	6
99	0	5	0	198	0	6.1
98	0	4	10	198	1	7.9
98	0	5	0	198	0	1.7
98	1	6	14	189	0	0
87	0	5	1	198	0	6.3
75	0	6	14	198	0	0
109	1	6	10	189	0	5.4
